Genome ,Coverage,Genes
94A,0.9423913,TPANIC_RS05525
94A,0.8959538,TPANIC_RS05530
94A,0.8788927,TPANIC_RS05535
94A,0.993441,TPANIC_RS00045
94A,0.99018,TPANIC_RS00200
94A,0.9651639,TPANIC_RS00450
94A,0.9711409,TPANIC_RS00560
94A,0.9281737,TPANIC_RS00590
94A,1,TPANIC_RS00635
94A,0.9281737,TPANIC_RS00665
94A,0.9983766,TPANIC_RS00675
94A,0.7115044,TPANIC_RS00680
94A,0.8036315,TPANIC_RS00695
94A,0.9578475,TPANIC_RS00795
94A,0.9762419,TPANIC_RS00830
94A,1,TPANIC_RS00870
94A,0.993458,TPANIC_RS01295
94A,1,TPANIC_RS01455
94A,1,TPANIC_RS01480
94A,0.9851398,TPANIC_RS01545
94A,1,TPANIC_RS01555 
94A,0.7775331,TPANIC_RS01560
94A,0.9665738,TPANIC_RS01590
94A,0.938224,TPANIC_RS01595
94A,1,TPANIC_RS02115
94A,1,TPANIC_RS02120
94A,0.9837775,TPANIC_RS02210
94A,0.8461539,TPANIC_RS02260
94A,0.982659,TPANIC_RS02345
94A,0.9207726,TPANIC_RS02370
94A,0.9961853,TPANIC_RS02405
94A,0.9394958,TPANIC_RS02520
94A,0.7553681,TPANIC_RS02695
94A,0.9849624,TPANIC_RS02820
94A,1,TPANIC_RS02830
94A,0.9980779,TPANIC_RS03015
94A,0.9685629,TPANIC_RS03060
94A,0.9857846,TPANIC_RS03065
94A,1,TPANIC_RS03070
94A,0.9839711,TPANIC_RS03170
94A,0.9761388,TPANIC_RS03175
94A,0.9933078,TPANIC_RS03245
94A,0.9897959,TPANIC_RS03475
94A,0.9256449,TPANIC_RS03635
94A,0.9895678,TPANIC_RS03715
94A,1,TPANIC_RS03720
94A,0.9672131,TPANIC_RS03800
94A,0.9938588,TPANIC_RS03805
94A,0.8979779,TPANIC_RS03940
94A,0.988121,TPANIC_RS04050
94A,0.0346284,TPANIC_RS04235
